,CIK,Company Name,Form Type,Date Filed,File Name,File split,Landing page
2715,805729,China Senior Living Industry International Holding Corp,10-K,20181005,edgar/data/805729/0001477932-18-004745.txt,edgar/data/805729/0001477932-18-004745,https://www.sec.gov/Archives/edgar/data/805729/0001477932-18-004745-index.htm
83,1030916,PREMIER HOLDING CORP.,10-K,20181009,edgar/data/1030916/0001683168-18-002989.txt,edgar/data/1030916/0001683168-18-002989,https://www.sec.gov/Archives/edgar/data/1030916/0001683168-18-002989-index.htm
1038,1400683,"STWC. Holdings, Inc.",10-K,20181009,edgar/data/1400683/0001127855-18-000214.txt,edgar/data/1400683/0001127855-18-000214,https://www.sec.gov/Archives/edgar/data/1400683/0001127855-18-000214-index.htm
1039,1400683,"STWC. Holdings, Inc.",10-K,20181009,edgar/data/1400683/0001127855-18-000220.txt,edgar/data/1400683/0001127855-18-000220,https://www.sec.gov/Archives/edgar/data/1400683/0001127855-18-000220-index.htm
3117,745543,"All State Properties Holdings, Inc.",10-K,20181009,edgar/data/745543/0001445831-18-000031.txt,edgar/data/745543/0001445831-18-000031,https://www.sec.gov/Archives/edgar/data/745543/0001445831-18-000031-index.htm
1218,1567802,"Perkins Oil & Gas, Inc.",10-K,20181010,edgar/data/1567802/0001640334-18-001892.txt,edgar/data/1567802/0001640334-18-001892,https://www.sec.gov/Archives/edgar/data/1567802/0001640334-18-001892-index.htm
100,103595,VILLAGE SUPER MARKET INC,10-K,20181011,edgar/data/103595/0000103595-18-000017.txt,edgar/data/103595/0000103595-18-000017,https://www.sec.gov/Archives/edgar/data/103595/0000103595-18-000017-index.htm
962,1528308,"IONIX TECHNOLOGY, INC.",10-K,20181011,edgar/data/1528308/0001214659-18-006485.txt,edgar/data/1528308/0001214659-18-006485,https://www.sec.gov/Archives/edgar/data/1528308/0001214659-18-006485-index.htm
966,1530185,AMERITEK VENTURES,10-K,20181011,edgar/data/1530185/0001530185-18-000009.txt,edgar/data/1530185/0001530185-18-000009,https://www.sec.gov/Archives/edgar/data/1530185/0001530185-18-000009-index.htm
969,1530425,"Artisan Consumer Goods, Inc.",10-K,20181011,edgar/data/1530425/0001477932-18-004816.txt,edgar/data/1530425/0001477932-18-004816,https://www.sec.gov/Archives/edgar/data/1530425/0001477932-18-004816-index.htm
1279,1618921,"Walgreens Boots Alliance, Inc.",10-K,20181011,edgar/data/1618921/0001628280-18-012472.txt,edgar/data/1618921/0001628280-18-012472,https://www.sec.gov/Archives/edgar/data/1618921/0001628280-18-012472-index.htm
1284,1622408,First Priority Tax Solutions Inc.,10-K,20181011,edgar/data/1622408/0001640334-18-001899.txt,edgar/data/1622408/0001640334-18-001899,https://www.sec.gov/Archives/edgar/data/1622408/0001640334-18-001899-index.htm
